Client- from 11/21,Domain,Cancelled? (as of 12/15),Content Services?,UA?,After  Google Ranking,After  Google Change,After  Google Mobile Ranking,After  Google Mobile Ranking Change,After  Bing Ranking,After  Bing Ranking Change,After  Total Keywords,After  Google Ranking 1,After  Google Ranking 1 Percentage,After  Google Ranking 1-3,After  Google Ranking 1-3 Percentage,After  Google Ranking 1-10,After  Google Ranking 1-10 Percentage,After  Google Mobile Ranking 1,After  Google Mobile Ranking 1 Percentage,After  Google Mobile Ranking 1-3,After  Google Mobile Ranking 1-3 Percentage,After  Google Mobile Ranking 1-10,After  Google Mobile Ranking 1-10 Percentage,After  Bing Ranking 1,After  Bing Ranking 1 Percentage,After  Bing Ranking 1-3,After  Bing Ranking 1-3 Percentage,After  Bing Ranking 1-10,After  Bing Ranking 1-10 Percentage,Before Google Ranking,Before Google Change,Before Google Mobile Ranking,Before Google Mobile Ranking Change,Before Bing Ranking,Before Bing Ranking Change,Before Total Keywords,Before Google Ranking 1,Before Google Ranking 1 Percentage,Before Google Ranking 1-3,Before Google Ranking 1-3 Percentage,Before Google Ranking 1-10,Before Google Ranking 1-10 Percentage,Before Google Mobile Ranking 1,Before Google Mobile Ranking 1 Percentage,Before Google Mobile Ranking 1-3,Before Google Mobile Ranking 1-3 Percentage,Before Google Mobile Ranking 1-10,Before Google Mobile Ranking 1-10 Percentage,Before Bing Ranking 1,Before Bing Ranking 1 Percentage,Before Bing Ranking 1-3,Before Bing Ranking 1-3 Percentage,Before Bing Ranking 1-10,Before Bing Ranking 1-10 Percentage,Percent Change  Google Ranking,Percent Change  Google Change,Percent Change  Google Mobile Ranking,Percent Change  Google Mobile Ranking Change,Percent Change  Bing Ranking,Percent Change  Bing Ranking Change,Percent Change  Total Keywords,Percent Change  Google Ranking 1,Percent Change  Google Ranking 1 Percentage,Percent Change  Google Ranking 1-3,Percent Change  Google Ranking 1-3 Percentage,Percent Change  Google Ranking 1-10,Percent Change  Google Ranking 1-10 Percentage,Percent Change  Google Mobile Ranking 1,Percent Change  Google Mobile Ranking 1 Percentage,Percent Change  Google Mobile Ranking 1-3,Percent Change  Google Mobile Ranking 1-3 Percentage,Percent Change  Google Mobile Ranking 1-10,Percent Change  Google Mobile Ranking 1-10 Percentage,Percent Change  Bing Ranking 1,Percent Change  Bing Ranking 1 Percentage,Percent Change  Bing Ranking 1-3,Percent Change  Bing Ranking 1-3 Percentage,Percent Change  Bing Ranking 1-10,Percent Change  Bing Ranking 1-10 Percentage
7220 Consulting,https://www.7220consulting.com/,No,Yes,UA,9.373134328,10.97014925,9.014925373,27.28358209,3,0.2388059701,67,15,0.223880597,18,0.2686567164,51,0.7611940299,18,0.2686567164,24,0.3582089552,51,0.7611940299,32,0.4776119403,43,0.6417910448,63,0.9402985075,6.597014925,3.194029851,6.701492537,0,3.850746269,1.671641791,67,23,0.3432835821,26,0.3880597015,56,0.8358208955,36,0.5373134328,36,0.5373134328,52,0.776119403,34,0.5074626866,43,0.6417910448,62,0.9253731343,1.42081448,3.434579439,1.345211581,#DIV/0!,0.7790697674,0.1428571429,1,0.652173913,0.652173913,0.6923076923,0.6923076923,0.9107142857,0.9107142857,0.5,0.5,0.6666666667,0.6666666667,0.9807692308,0.9807692308,0.9411764706,0.9411764706,1,1,1.016129032,1.016129032
Advanced Premises Systems,https://www.apslink.com/,No,Yes,GA4,12.17391304,83.54347826,11.19565217,52.08695652,1.956521739,13.56521739,46,2,0.04347826087,4,0.08695652174,26,0.5652173913,4,0.08695652174,8,0.1739130435,28,0.6086956522,34,0.7391304348,38,0.8260869565,42,0.9130434783,1.591836735,0,0.387755102,0,0.1428571429,0,49,45,0.9183673469,46,0.9387755102,48,0.9795918367,46,0.9387755102,46,0.9387755102,49,1,47,0.9591836735,48,0.9795918367,49,1,7.647714604,#DIV/0!,28.87299771,#DIV/0!,13.69565217,#DIV/0!,0.9387755102,0.04444444444,0.04734299517,0.08695652174,0.09262759924,0.5416666667,0.5769927536,0.08695652174,0.09262759924,0.1739130435,0.1852551985,0.5714285714,0.6086956522,0.7234042553,0.7705827937,0.7916666667,0.8432971014,0.8571428571,0.9130434783
Allied Home Technologies,https://www.ahttexas.com/,No,Yes,GA4,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,5.5,0,0,0,1.333333333,0,12,10,0.8333333333,10,0.8333333333,10,0.8333333333,12,1,12,1,12,1,11,0.9166666667,11,0.9166666667,11,0.9166666667,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!
Anchor home security,https://anchorhometech.com/,No,No,UA,13.68965517,70.10344828,10.65517241,-1.896551724,1.793103448,8.793103448,29,4,0.1379310345,5,0.1724137931,14,0.4827586207,6,0.2068965517,6,0.2068965517,17,0.5862068966,22,0.7586206897,23,0.7931034483,28,0.9655172414,0.2068965517,0,0,0,0.03448275862,0,29,28,0.9655172414,28,0.9655172414,29,1,29,1,29,1,29,1,29,1,29,1,29,1,66.16666667,#DIV/0!,#DIV/0!,#DIV/0!,52,#DIV/0!,1,0.1428571429,0.1428571429,0.1785714286,0.1785714286,0.4827586207,0.4827586207,0.2068965517,0.2068965517,0.2068965517,0.2068965517,0.5862068966,0.5862068966,0.7586206897,0.7586206897,0.7931034483,0.7931034483,0.9655172414,0.9655172414
Andrus Smart Technologies,https://www.andrussmarttech.com/,No,Yes,UA,11.33333333,23.83333333,10.25,27.05,3.175,12.4,120,26,0.2166666667,30,0.25,84,0.7,24,0.2,36,0.3,88,0.7333333333,76,0.6333333333,84,0.7,107,0.8916666667,16.95833333,4.375,15.2,4,3.558333333,-3.475,120,29,0.2416666667,36,0.3,66,0.55,31,0.2583333333,36,0.3,68,0.5666666667,96,0.8,97,0.8083333333,101,0.8416666667,0.6683046683,5.447619048,0.6743421053,6.7625,0.8922716628,-3.568345324,1,0.8965517241,0.8965517241,0.8333333333,0.8333333333,1.272727273,1.272727273,0.7741935484,0.7741935484,1,1,1.294117647,1.294117647,0.7916666667,0.7916666667,0.8659793814,0.8659793814,1.059405941,1.059405941
Applause Custom Sight and Sound,https://applausetheater.com/,No,Yes,UA,6.73125,1.1125,5.64375,1.84375,6.1125,1.15,160,29,0.18125,51,0.31875,145,0.90625,49,0.30625,87,0.54375,146,0.9125,40,0.25,61,0.38125,125,0.78125,6.88125,13.425,7.1625,1.0125,5.5875,9.85,160,31,0.19375,51,0.31875,144,0.9,34,0.2125,47,0.29375,143,0.89375,51,0.31875,77,0.48125,127,0.79375,0.9782016349,0.08286778399,0.7879581152,1.820987654,1.093959732,0.116751269,1,0.935483871,0.935483871,1,1,1.006944444,1.006944444,1.441176471,1.441176471,1.85106383,1.85106383,1.020979021,1.020979021,0.7843137255,0.7843137255,0.7922077922,0.7922077922,0.9842519685,0.9842519685
Assurance AV,https://www.facebook.com/assuranceav,No,No,GA4,2.666666667,12.87878788,2.545454545,15.81818182,1.333333333,17.21212121,33,27,0.8181818182,28,0.8484848485,31,0.9393939394,27,0.8181818182,29,0.8787878788,31,0.9393939394,28,0.8484848485,28,0.8484848485,33,1,0.2727272727,-0.0303030303,0,0,0,0,33,32,0.9696969697,32,0.9696969697,33,1,33,1,33,1,33,1,33,1,33,1,33,1,9.777777778,-425,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1,0.84375,0.84375,0.875,0.875,0.9393939394,0.9393939394,0.8181818182,0.8181818182,0.8787878788,0.8787878788,0.9393939394,0.9393939394,0.8484848485,0.8484848485,0.8484848485,0.8484848485,1,1
Atlantic Smart Home,https://atlanticsmart.com/,No,No,GA4,27.75,15.875,0,0,1,-8.125,8,0,0,0,0,4,0.5,8,1,8,1,8,1,6,0.75,7,0.875,8,1,18.375,0,0,0,5.625,0,8,2,0.25,2,0.25,4,0.5,8,1,8,1,8,1,4,0.5,4,0.5,7,0.875,1.510204082,#DIV/0!,#DIV/0!,#DIV/0!,0.1777777778,#DIV/0!,1,0,0,0,0,1,1,1,1,1,1,1,1,1.5,1.5,1.75,1.75,1.142857143,1.142857143
Audio Video Experts MO,https://avexpertsstl.com/,No,Yes,GA4,15.27272727,54,13,5.090909091,0.9090909091,9.090909091,11,1,0.09090909091,2,0.1818181818,6,0.5454545455,2,0.1818181818,3,0.2727272727,6,0.5454545455,8,0.7272727273,9,0.8181818182,11,1,8.210526316,0,0,0,0.4210526316,0,19,15,0.7894736842,15,0.7894736842,15,0.7894736842,19,1,19,1,19,1,18,0.9473684211,18,0.9473684211,19,1,1.86013986,#DIV/0!,#DIV/0!,#DIV/0!,2.159090909,#DIV/0!,0.5789473684,0.06666666667,0.1151515152,0.1333333333,0.2303030303,0.4,0.6909090909,0.1052631579,0.1818181818,0.1578947368,0.2727272727,0.3157894737,0.5454545455,0.4444444444,0.7676767677,0.5,0.8636363636,0.5789473684,1
Aura Design,https://www.aura-design.ca/,No,Yes,GA4,9.939393939,5.287878788,9.075757576,3.424242424,2.196969697,-0.3181818182,66,20,0.303030303,23,0.3484848485,46,0.696969697,14,0.2121212121,19,0.2878787879,53,0.803030303,38,0.5757575758,54,0.8181818182,63,0.9545454545,10.43939394,9.212121212,10.96969697,0,4.03030303,10.39393939,66,17,0.2575757576,24,0.3636363636,46,0.696969697,8,0.1212121212,11,0.1666666667,44,0.6666666667,32,0.4848484848,40,0.6060606061,59,0.8939393939,0.9521044993,0.5740131579,0.8273480663,#DIV/0!,0.545112782,-0.0306122449,1,1.176470588,1.176470588,0.9583333333,0.9583333333,1,1,1.75,1.75,1.727272727,1.727272727,1.204545455,1.204545455,1.1875,1.1875,1.35,1.35,1.06779661,1.06779661
